Recipient,Amount
3SY7cRNXnrcjy9aNEoQpqiHeWrn3kw5TAZaV1DLxDbqZ,475000
6HxDyyxoKL8aYuL5tWg7HTXS9j8Lok9UhQchkFw2Lo9q,350000
3fEn1ts4r43gzb3eQKRJvHjRMtW4SUPDURF3bk8wgBWm,275000
6ojD8364PKwXWfr1jyZhrTMkttp4GA2K9EczyEp9RQKJ,200000
H7DFrwkG6Ci4fSbVzLW3M15WuEnnAquWpQitHuAaSscG,150000
2qS3oEM9gLUxy9vXCHz26bzvUEn4cZWqrMzWXACPBsD3,110000
4BRHS8Gyx5vk2Dd83xp8YaK1i6KLw2qPDaJmiSdNhD2K,110000
8WgEp2TsV29HJVTFtg3UgPsKE6ufkj41xKAGAg1wa3W1,110000
7oMLTi3zVtJx89DgbUpUH9YkFX6qRgV14Aesuenu4w9J,110000
6Wti8FXzeHhGHHe7i9LUogdBEaHyC1doCt1F5wv8cLtm,110000
